model,split,tau_s,dynamic_gain_ohm,n_score,dynamic_correction_rms_mv,r0_min_ohm,r0_max_ohm,r0_negative_fraction,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
BATT4a2_R0T_physical,test_cell_transfer,,0.0,47086,0.0,0.0019057820140706075,0.0019057820140706075,0.0,436.5653478288773,243.46159645083506,1315.4671542133422,233.95348820370864,1.0955378846143384
BATT4a2_R0T_physical,test_high_amplitude,,0.0,39460,0.0,0.0019057820140706075,0.0019057820140706075,0.0,24.06134807798182,14.339160262208575,261.43831964685836,0.8656026704887543,0.5338626404379215
BATT4a2_R0T_physical,train,,0.0,263165,0.0,0.0019057820140706075,0.18621058056917605,0.0,41.64424472520614,22.005517854163095,410.9955136382819,0.2501433346810842,0.20541000980868473
BATT4a2_R0T_physical,validation_temperature,,0.0,186800,0.0,0.006854743244735878,0.12147634023036406,0.0,71.83994372929314,46.220054211666046,395.9737558138752,-1.6142531221209424,0.4267132225867447
BATT4c_R0T_qtau20s_no_intercept,test_cell_transfer,20.0,0.014949254974321502,47086,5.591319043197691,0.0019057820140706075,0.0019057820140706075,0.0,436.2850580136113,242.99041661352447,1315.4219994705272,231.7632521636066,1.094834511997106
BATT4c_R0T_qtau20s_no_intercept,test_high_amplitude,20.0,0.014949254974321502,39460,10.673476503260131,0.0019057820140706075,0.0019057820140706075,0.0,19.64346915763581,10.712589246091289,261.43831964685836,-1.9448505991757228,0.43584068015926125
BATT4c_R0T_qtau20s_no_intercept,train,20.0,0.014949254974321502,263165,6.443968763619014,0.0019057820140706075,0.18621058056917605,0.0,41.14265894793823,21.566993684334907,410.9955136382819,-2.873796395628005,0.20293594070001542
BATT4c_R0T_qtau20s_no_intercept,validation_temperature,20.0,0.014949254974321502,186800,6.536676477462756,0.006854743244735878,0.12147634023036406,0.0,71.38897995134568,46.42366816553212,387.3988886684856,-4.763408360524973,0.42403459845414543
BATT4c_R0T_qtau50s_no_intercept,test_cell_transfer,50.0,0.016221295236863928,47086,4.492637145614436,0.0019057820140706075,0.0019057820140706075,0.0,436.28839473978826,243.20942558533312,1315.6169144063335,231.57688425849238,1.0948428853367573
BATT4c_R0T_qtau50s_no_intercept,test_high_amplitude,50.0,0.016221295236863928,39460,7.155330848215367,0.0019057820140706075,0.0019057820140706075,0.0,21.539622091974323,11.994556888573317,261.43831964685836,-2.183994107881123,0.47791169001786504
BATT4c_R0T_qtau50s_no_intercept,train,50.0,0.016221295236863928,263165,6.488983432581963,0.0019057820140706075,0.18621058056917605,0.0,41.135583291653184,21.695946776976843,410.9955136382819,-3.1396129043890375,0.20290104006400905
BATT4c_R0T_qtau50s_no_intercept,validation_temperature,50.0,0.016221295236863928,186800,6.536143247875651,0.006854743244735878,0.12147634023036406,0.0,71.38454849269397,46.61064631180111,389.9662758844316,-5.031372086531391,0.4240082765793795
BATT4c_R0T_qtau100s_no_intercept,test_cell_transfer,100.0,0.01689429189431583,47086,4.067592405836459,0.0019057820140706075,0.0019057820140706075,0.0,436.2821879778235,243.30857853135404,1315.5728404227707,231.4782903071028,1.094827309792553
BATT4c_R0T_qtau100s_no_intercept,test_high_amplitude,100.0,0.01689429189431583,39460,5.5965449143341655,0.0019057820140706075,0.0019057820140706075,0.0,22.4500995069826,12.85303157286971,261.43831964685836,-2.310530430942717,0.49811296366471475
BATT4c_R0T_qtau100s_no_intercept,train,100.0,0.01689429189431583,263165,6.434972094005311,0.0019057820140706075,0.18621058056917605,0.0,41.14406704352685,21.837063265623097,410.9955136382819,-3.2802077899817066,0.20294288612382078
BATT4c_R0T_qtau100s_no_intercept,validation_temperature,100.0,0.01689429189431583,186800,6.469453001295026,0.006854743244735878,0.12147634023036406,0.0,71.40559509517027,46.76587713665327,390.7109042890471,-5.173151825960442,0.42413328869799993
BATT4c_R0T_qtau200s_no_intercept,test_cell_transfer,200.0,0.017363923387553284,47086,3.7688414039960176,0.0019057820140706075,0.0019057820140706075,0.0,436.2695624171052,243.37299276896275,1315.5218362587145,231.40951394256157,1.0947956266089238
BATT4c_R0T_qtau200s_no_intercept,test_high_amplitude,200.0,0.017363923387553284,39460,4.709220962515788,0.0019057820140706075,0.0019057820140706075,0.0,23.04467689596445,13.570945980039701,261.43831964685836,-2.398281484371022,0.5113051860538254
BATT4c_R0T_qtau200s_no_intercept,train,200.0,0.017363923387553284,263165,6.130074538769353,0.0019057820140706075,0.18621058056917605,0.0,41.190597287269235,22.110750199807605,410.9955136382819,-3.3776242748167595,0.2031723962971134
BATT4c_R0T_qtau200s_no_intercept,validation_temperature,200.0,0.017363923387553284,186800,6.159035666643733,0.006854743244735878,0.12147634023036406,0.0,71.44604694679968,46.968476377891875,390.9886837028127,-5.271563536390757,0.42437356366304485
BATT4c_R0T_qtau500s_no_intercept,test_cell_transfer,500.0,0.01452869166853324,47086,2.7265067009307113,0.0019057820140706075,0.0019057820140706075,0.0,436.2986720912233,243.39273444261823,1315.4773506449565,231.82499147222654,1.0948686758121273
BATT4c_R0T_qtau500s_no_intercept,test_high_amplitude,500.0,0.01452869166853324,39460,3.206620418116132,0.0019057820140706075,0.0019057820140706075,0.0,23.64741566090094,14.381631970976901,261.43831964685836,-1.854184134102782,0.5246784894739169
BATT4c_R0T_qtau500s_no_intercept,train,500.0,0.01452869166853324,263165,4.312442095035521,0.0019057820140706075,0.18621058056917605,0.0,41.420356853965245,22.434267107519947,410.9955136382819,-2.775259166550905,0.20430568410579109
BATT4c_R0T_qtau500s_no_intercept,validation_temperature,500.0,0.01452869166853324,186800,4.330925691639056,0.006854743244735878,0.12147634023036406,0.0,71.68306421713693,47.113669989377435,392.20638845031266,-4.663739186414118,0.4257813933185834
BATT4c_R0T_qtau1000s_no_intercept,test_cell_transfer,1000.0,0.009743947470198844,47086,1.6724288389903454,0.0019057820140706075,0.0019057820140706075,0.0,436.3581579114365,243.4131162980787,1315.4634363740397,232.52610107396788,1.0950179523636563
BATT4c_R0T_qtau1000s_no_intercept,test_high_amplitude,1000.0,0.009743947470198844,39460,1.9236893421812347,0.0019057820140706075,0.0019057820140706075,0.0,23.89991226897594,14.549202822438021,261.43831964685836,-0.9377612340922863,0.5302807734960615
BATT4c_R0T_qtau1000s_no_intercept,train,1000.0,0.009743947470198844,263165,2.486026151433858,0.0019057820140706075,0.18621058056917605,0.0,41.569974653675786,22.405599946903788,410.9955136382819,-1.7602043731686183,0.2050436730862346
BATT4c_R0T_qtau1000s_no_intercept,validation_temperature,1000.0,0.009743947470198844,186800,2.495751709360003,0.006854743244735878,0.12147634023036406,0.0,71.83008664994217,46.915182359070414,393.7653560819765,-3.638877655066328,0.42665467373666494
