trajectory_id,split,x0,model,nrmse_all,nrmse_theta,nrmse_omega
train_small_ic0,train_small,"[0.05, 0.0]",B0_local_linear,0.043491990843403,0.04219435225769066,0.04493906119529607
train_small_ic0,train_small,"[0.05, 0.0]",B0_gain_scheduled_lookup,0.06282934715954483,0.0609491920312437,0.06492518900527897
train_small_ic0,train_small,"[0.05, 0.0]",B1_full_sindy,2.742738855031214e-07,2.662093949228332e-07,2.832846365791059e-07
train_small_ic0,train_small,"[0.05, 0.0]",B2_free_residual_sindy,2.742862666644908e-07,2.662302291688775e-07,2.832888927100426e-07
train_small_ic0,train_small,"[0.05, 0.0]",B3_slot_constrained,2.268525525059644e-07,2.201884709134471e-07,2.342994849887748e-07
train_small_ic0,train_small,"[0.05, 0.0]",B4_oracle_reference,0,0,0
train_small_ic1,train_small,"[-0.1, 0.05]",B0_local_linear,0.03797701578811657,0.03853215302548381,0.03753629467416945
train_small_ic1,train_small,"[-0.1, 0.05]",B0_gain_scheduled_lookup,0.05668874361004458,0.05748156180304653,0.05606569513522164
train_small_ic1,train_small,"[-0.1, 0.05]",B1_full_sindy,2.450329261487102e-07,2.489205139667163e-07,2.418917229868542e-07
train_small_ic1,train_small,"[-0.1, 0.05]",B2_free_residual_sindy,2.450509273299439e-07,2.489551773188899e-07,2.418935330045438e-07
train_small_ic1,train_small,"[-0.1, 0.05]",B3_slot_constrained,2.014813265345956e-07,2.04697442914233e-07,1.988794290656306e-07
train_small_ic1,train_small,"[-0.1, 0.05]",B4_oracle_reference,0,0,0
train_small_ic2,train_small,"[0.2, -0.1]",B0_local_linear,0.02248385429069356,0.02276147255942722,0.02226961449842391
train_small_ic2,train_small,"[0.2, -0.1]",B0_gain_scheduled_lookup,0.04117741850191497,0.04166683001926068,0.0408035400892285
train_small_ic2,train_small,"[0.2, -0.1]",B1_full_sindy,1.772885532198803e-07,1.796481245628033e-07,1.754333344909726e-07
train_small_ic2,train_small,"[0.2, -0.1]",B2_free_residual_sindy,1.773058004804841e-07,1.796819757231753e-07,1.754344524796118e-07
train_small_ic2,train_small,"[0.2, -0.1]",B3_slot_constrained,1.417324933967799e-07,1.436521096371917e-07,1.402169395393599e-07
train_small_ic2,train_small,"[0.2, -0.1]",B4_oracle_reference,0,0,0
train_small_ic3,train_small,"[-0.3, 0.1]",B0_local_linear,0.004011736872033979,0.003957571538750619,0.00407460758384574
train_small_ic3,train_small,"[-0.3, 0.1]",B0_gain_scheduled_lookup,0.02035860533501275,0.02014328190187471,0.02062080518448233
train_small_ic3,train_small,"[-0.3, 0.1]",B1_full_sindy,1.059546009650848e-07,1.050786442867866e-07,1.070844111735588e-07
train_small_ic3,train_small,"[-0.3, 0.1]",B2_free_residual_sindy,1.059694255161611e-07,1.0510912569566e-07,1.070842156730661e-07
train_small_ic3,train_small,"[-0.3, 0.1]",B3_slot_constrained,7.952544250437124e-08,7.888338870306021e-08,8.035861537878438e-08
train_small_ic3,train_small,"[-0.3, 0.1]",B4_oracle_reference,0,0,0
train_small_ic4,train_small,"[0.35, 0.0]",B0_local_linear,0.01269511762850605,0.01256496315725847,0.01286967543197926
train_small_ic4,train_small,"[0.35, 0.0]",B0_gain_scheduled_lookup,0.009874683112344469,0.009225181553401884,0.01053931929112474
train_small_ic4,train_small,"[0.35, 0.0]",B1_full_sindy,7.736938538422153e-08,7.369760847174226e-08,8.125945865972276e-08
train_small_ic4,train_small,"[0.35, 0.0]",B2_free_residual_sindy,7.738348048685447e-08,7.372108047902203e-08,8.126475517382526e-08
train_small_ic4,train_small,"[0.35, 0.0]",B3_slot_constrained,5.453022231128173e-08,5.182103924384256e-08,5.738649550006019e-08
train_small_ic4,train_small,"[0.35, 0.0]",B4_oracle_reference,0,0,0
train_small_ic5,train_small,"[-0.35, 0.0]",B0_local_linear,0.01269511762850605,0.01256496315725847,0.01286967543197926
train_small_ic5,train_small,"[-0.35, 0.0]",B0_gain_scheduled_lookup,0.009874683112344469,0.009225181553401884,0.01053931929112474
train_small_ic5,train_small,"[-0.35, 0.0]",B1_full_sindy,7.736938538422153e-08,7.369760847174226e-08,8.125945865972276e-08
train_small_ic5,train_small,"[-0.35, 0.0]",B2_free_residual_sindy,7.738348116032062e-08,7.372108123807377e-08,8.126475576989349e-08
train_small_ic5,train_small,"[-0.35, 0.0]",B3_slot_constrained,5.453022231128173e-08,5.182103924384256e-08,5.738649550006019e-08
train_small_ic5,train_small,"[-0.35, 0.0]",B4_oracle_reference,0,0,0
train_medium_ic0,train_medium,"[0.45, 0.0]",B0_local_linear,0.0487971081662119,0.04762864867692568,0.05013806593585039
train_medium_ic0,train_medium,"[0.45, 0.0]",B0_gain_scheduled_lookup,0.05018431002357977,0.04915623937317059,0.05138927557626286
train_medium_ic0,train_medium,"[0.45, 0.0]",B1_full_sindy,1.752640200841059e-08,1.576115081504389e-08,1.925669634484447e-08
train_medium_ic0,train_medium,"[0.45, 0.0]",B2_free_residual_sindy,1.75336049188179e-08,1.578848742438555e-08,1.924662759599333e-08
train_medium_ic0,train_medium,"[0.45, 0.0]",B3_slot_constrained,1.110229397816995e-08,1.038036192831139e-08,1.184522970752051e-08
train_medium_ic0,train_medium,"[0.45, 0.0]",B4_oracle_reference,0,0,0
train_medium_ic1,train_medium,"[-0.45, 0.0]",B0_local_linear,0.0487971081662119,0.04762864867692568,0.05013806593585039
train_medium_ic1,train_medium,"[-0.45, 0.0]",B0_gain_scheduled_lookup,0.05018431002357977,0.04915623937317059,0.05138927557626286
train_medium_ic1,train_medium,"[-0.45, 0.0]",B1_full_sindy,1.752640152294555e-08,1.576115042007542e-08,1.925669577562816e-08
train_medium_ic1,train_medium,"[-0.45, 0.0]",B2_free_residual_sindy,1.753360513564082e-08,1.57884873079972e-08,1.9246628102961e-08
train_medium_ic1,train_medium,"[-0.45, 0.0]",B3_slot_constrained,1.110229397816995e-08,1.038036192831139e-08,1.184522970752051e-08
train_medium_ic1,train_medium,"[-0.45, 0.0]",B4_oracle_reference,0,0,0
train_medium_ic2,train_medium,"[0.7, 0.0]",B0_local_linear,0.1800971448123939,0.1741040378809393,0.1867334369674206
train_medium_ic2,train_medium,"[0.7, 0.0]",B0_gain_scheduled_lookup,0.02188571381179974,0.02028598597700489,0.02353629543197406
train_medium_ic2,train_medium,"[0.7, 0.0]",B1_full_sindy,1.342824325366537e-08,1.261300093602647e-08,1.428422797990753e-08
train_medium_ic2,train_medium,"[0.7, 0.0]",B2_free_residual_sindy,1.340438454794936e-08,1.258595923859577e-08,1.426326574365049e-08
train_medium_ic2,train_medium,"[0.7, 0.0]",B3_slot_constrained,1.058106401543695e-08,9.84548008301899e-09,1.134371088927645e-08
train_medium_ic2,train_medium,"[0.7, 0.0]",B4_oracle_reference,0,0,0
train_medium_ic3,train_medium,"[-0.8, 0.2]",B0_local_linear,0.249492443475629,0.2432833980613129,0.2562228695876947
train_medium_ic3,train_medium,"[-0.8, 0.2]",B0_gain_scheduled_lookup,0.00991433908379279,0.009665976601243376,0.01018342194770135
train_medium_ic3,train_medium,"[-0.8, 0.2]",B1_full_sindy,1.215393284131596e-08,1.216295928382531e-08,1.216171862181885e-08
train_medium_ic3,train_medium,"[-0.8, 0.2]",B2_free_residual_sindy,1.217141040117668e-08,1.217395483550964e-08,1.218605319147184e-08
train_medium_ic3,train_medium,"[-0.8, 0.2]",B3_slot_constrained,1.347738957016305e-08,1.348988734993205e-08,1.348339837039532e-08
train_medium_ic3,train_medium,"[-0.8, 0.2]",B4_oracle_reference,0,0,0
train_medium_ic4,train_medium,"[1.0, 0.0]",B0_local_linear,0.40881081138992,0.3933496863451266,0.425857302085266
train_medium_ic4,train_medium,"[1.0, 0.0]",B0_gain_scheduled_lookup,0.02867871831583567,0.02840415408200385,0.0290132415051946
train_medium_ic4,train_medium,"[1.0, 0.0]",B1_full_sindy,8.398234422679379e-09,8.443229136915072e-09,8.356747788227694e-09
train_medium_ic4,train_medium,"[1.0, 0.0]",B2_free_residual_sindy,8.399578544813751e-09,8.446976165304282e-09,8.355377989924124e-09
train_medium_ic4,train_medium,"[1.0, 0.0]",B3_slot_constrained,1.00235448393443e-08,9.991788192486617e-09,1.006970536900474e-08
train_medium_ic4,train_medium,"[1.0, 0.0]",B4_oracle_reference,0,0,0
train_medium_ic5,train_medium,"[-1.0, 0.0]",B0_local_linear,0.40881081138992,0.3933496863451266,0.425857302085266
train_medium_ic5,train_medium,"[-1.0, 0.0]",B0_gain_scheduled_lookup,0.02867871831583567,0.02840415408200385,0.0290132415051946
train_medium_ic5,train_medium,"[-1.0, 0.0]",B1_full_sindy,8.398234356821004e-09,8.44322904042183e-09,8.35674775690464e-09
train_medium_ic5,train_medium,"[-1.0, 0.0]",B2_free_residual_sindy,8.399578985794585e-09,8.446976572723314e-09,8.355378469335524e-09
train_medium_ic5,train_medium,"[-1.0, 0.0]",B3_slot_constrained,1.00235448393443e-08,9.991788192486617e-09,1.006970536900474e-08
train_medium_ic5,train_medium,"[-1.0, 0.0]",B4_oracle_reference,0,0,0
train_medium_ic6,train_medium,"[0.6, -0.5]",B0_local_linear,0.2119260244407931,0.2144483073906208,0.2095642206748466
train_medium_ic6,train_medium,"[0.6, -0.5]",B0_gain_scheduled_lookup,0.01112149003975703,0.01082439416287072,0.01141472940624996
train_medium_ic6,train_medium,"[0.6, -0.5]",B1_full_sindy,9.097860618476379e-09,9.211216092276461e-09,8.991345421019771e-09
train_medium_ic6,train_medium,"[0.6, -0.5]",B2_free_residual_sindy,9.116245911182014e-09,9.218795731807413e-09,9.020649430689641e-09
train_medium_ic6,train_medium,"[0.6, -0.5]",B3_slot_constrained,1.059593823727925e-08,1.078261465233809e-08,1.041638207970816e-08
train_medium_ic6,train_medium,"[0.6, -0.5]",B4_oracle_reference,0,0,0
train_medium_ic7,train_medium,"[-0.6, 0.5]",B0_local_linear,0.2119260244407931,0.2144483073906208,0.2095642206748466
train_medium_ic7,train_medium,"[-0.6, 0.5]",B0_gain_scheduled_lookup,0.01112149003975703,0.01082439416287072,0.01141472940624996
train_medium_ic7,train_medium,"[-0.6, 0.5]",B1_full_sindy,9.097860742727388e-09,9.211216300039008e-09,8.991345461014927e-09
train_medium_ic7,train_medium,"[-0.6, 0.5]",B2_free_residual_sindy,9.116245988410646e-09,9.218795542093449e-09,9.020649777000042e-09
train_medium_ic7,train_medium,"[-0.6, 0.5]",B3_slot_constrained,1.059593823727925e-08,1.078261465233809e-08,1.041638207970816e-08
train_medium_ic7,train_medium,"[-0.6, 0.5]",B4_oracle_reference,0,0,0
test_interp_ic0,test_interp,"[1.1, 0.0]",B0_local_linear,0.5004120786024749,0.481589561925405,0.5212317526479174
test_interp_ic0,test_interp,"[1.1, 0.0]",B0_gain_scheduled_lookup,0.08239668508650611,0.08159132746225749,0.08336009165746608
test_interp_ic0,test_interp,"[1.1, 0.0]",B1_full_sindy,1.269316140977148e-07,1.269770923969999e-07,1.269781006597308e-07
test_interp_ic0,test_interp,"[1.1, 0.0]",B2_free_residual_sindy,1.269309736247544e-07,1.269723842482454e-07,1.269820554081427e-07
test_interp_ic0,test_interp,"[1.1, 0.0]",B3_slot_constrained,1.332216252201906e-07,1.330071310378333e-07,1.33566072692657e-07
test_interp_ic0,test_interp,"[1.1, 0.0]",B4_oracle_reference,0,0,0
test_interp_ic1,test_interp,"[-1.1, 0.0]",B0_local_linear,0.5004120786024749,0.481589561925405,0.5212317526479174
test_interp_ic1,test_interp,"[-1.1, 0.0]",B0_gain_scheduled_lookup,0.08239668508650611,0.08159132746225749,0.08336009165746608
test_interp_ic1,test_interp,"[-1.1, 0.0]",B1_full_sindy,1.26931614641409e-07,1.269770929881223e-07,1.269781011502575e-07
test_interp_ic1,test_interp,"[-1.1, 0.0]",B2_free_residual_sindy,1.269309737349401e-07,1.2697238438686e-07,1.269820554862952e-07
test_interp_ic1,test_interp,"[-1.1, 0.0]",B3_slot_constrained,1.332216252201906e-07,1.330071310378333e-07,1.33566072692657e-07
test_interp_ic1,test_interp,"[-1.1, 0.0]",B4_oracle_reference,0,0,0
test_interp_ic2,test_interp,"[0.9, 0.7]",B0_local_linear,0.6344609534649287,0.6202418650401094,0.6517399762531506
test_interp_ic2,test_interp,"[0.9, 0.7]",B0_gain_scheduled_lookup,0.1907093332621104,0.1894283499282405,0.1924284464669624
test_interp_ic2,test_interp,"[0.9, 0.7]",B1_full_sindy,1.04563681999104e-06,1.042054189553902e-06,1.050985197277868e-06
test_interp_ic2,test_interp,"[0.9, 0.7]",B2_free_residual_sindy,1.045235656400887e-06,1.041651771479224e-06,1.050585108223448e-06
test_interp_ic2,test_interp,"[0.9, 0.7]",B3_slot_constrained,1.119313223215227e-06,1.115508186211029e-06,1.125002739493922e-06
test_interp_ic2,test_interp,"[0.9, 0.7]",B4_oracle_reference,0,0,0
test_interp_ic3,test_interp,"[-0.9, -0.7]",B0_local_linear,0.6344609534649287,0.6202418650401094,0.6517399762531506
test_interp_ic3,test_interp,"[-0.9, -0.7]",B0_gain_scheduled_lookup,0.1907093332621104,0.1894283499282405,0.1924284464669624
test_interp_ic3,test_interp,"[-0.9, -0.7]",B1_full_sindy,1.045636819490749e-06,1.042054189054809e-06,1.050985196775633e-06
test_interp_ic3,test_interp,"[-0.9, -0.7]",B2_free_residual_sindy,1.045235657631885e-06,1.0416517727474e-06,1.050585109411515e-06
test_interp_ic3,test_interp,"[-0.9, -0.7]",B3_slot_constrained,1.119313223215227e-06,1.115508186211029e-06,1.125002739493922e-06
test_interp_ic3,test_interp,"[-0.9, -0.7]",B4_oracle_reference,0,0,0
test_interp_ic4,test_interp,"[0.4, 1.0]",B0_local_linear,0.5509067749838685,0.5500703880560256,0.552267908195008
test_interp_ic4,test_interp,"[0.4, 1.0]",B0_gain_scheduled_lookup,0.1242340636144064,0.1242990954440629,0.1242490580434394
test_interp_ic4,test_interp,"[0.4, 1.0]",B1_full_sindy,2.860260155662069e-07,2.861333420173044e-07,2.86109437606904e-07
test_interp_ic4,test_interp,"[0.4, 1.0]",B2_free_residual_sindy,2.858566953455013e-07,2.859614743277235e-07,2.859429324322305e-07
test_interp_ic4,test_interp,"[0.4, 1.0]",B3_slot_constrained,3.362824413333302e-07,3.371542578187877e-07,3.355186058845552e-07
test_interp_ic4,test_interp,"[0.4, 1.0]",B4_oracle_reference,0,0,0
test_extrap_ic0,test_extrap,"[1.5, 0.0]",B0_local_linear,0.9201804372484488,0.8912519745727749,0.9536587780097709
test_extrap_ic0,test_extrap,"[1.5, 0.0]",B0_gain_scheduled_lookup,0.4776069468143558,0.4757042605670477,0.4799433660215692
test_extrap_ic0,test_extrap,"[1.5, 0.0]",B1_full_sindy,1.615759312501247e-05,1.627911340402108e-05,1.601425779818265e-05
test_extrap_ic0,test_extrap,"[1.5, 0.0]",B2_free_residual_sindy,1.615624031992138e-05,1.627777917293225e-05,1.60128821648046e-05
test_extrap_ic0,test_extrap,"[1.5, 0.0]",B3_slot_constrained,1.660784818644614e-05,1.67287622805291e-05,1.646535432577412e-05
test_extrap_ic0,test_extrap,"[1.5, 0.0]",B4_oracle_reference,0,0,0
test_extrap_ic1,test_extrap,"[-1.6, 0.0]",B0_local_linear,1.031510281873465,0.9996472743752616,1.06932238108653
test_extrap_ic1,test_extrap,"[-1.6, 0.0]",B0_gain_scheduled_lookup,0.6016305929018754,0.5989441645195704,0.6049932409630511
test_extrap_ic1,test_extrap,"[-1.6, 0.0]",B1_full_sindy,3.383891731402428e-05,3.407395246855304e-05,3.35548829055449e-05
test_extrap_ic1,test_extrap,"[-1.6, 0.0]",B2_free_residual_sindy,3.38362850196342e-05,3.407134704650202e-05,3.355221666475576e-05
test_extrap_ic1,test_extrap,"[-1.6, 0.0]",B3_slot_constrained,3.462445986964385e-05,3.485906972461213e-05,3.434112972548742e-05
test_extrap_ic1,test_extrap,"[-1.6, 0.0]",B4_oracle_reference,0,0,0
test_extrap_ic2,test_extrap,"[2.0, 0.0]",B0_local_linear,1.444444973754998,1.379463897982341,1.537137082173346
test_extrap_ic2,test_extrap,"[2.0, 0.0]",B0_gain_scheduled_lookup,1.123599938708255,1.091655020574666,1.170674177806342
test_extrap_ic2,test_extrap,"[2.0, 0.0]",B1_full_sindy,0.000354206090994389,0.0003485406228932056,0.0003629147932128826
test_extrap_ic2,test_extrap,"[2.0, 0.0]",B2_free_residual_sindy,0.0003541864079417831,0.000348522354698817,0.0003628930723612321
test_extrap_ic2,test_extrap,"[2.0, 0.0]",B3_slot_constrained,0.000358317667063721,0.0003524912970886548,0.0003672618035713548
test_extrap_ic2,test_extrap,"[2.0, 0.0]",B4_oracle_reference,0,0,0
test_extrap_ic3,test_extrap,"[-2.2, 0.0]",B0_local_linear,1.602104046597005,1.511526120421997,1.747399050787228
test_extrap_ic3,test_extrap,"[-2.2, 0.0]",B0_gain_scheduled_lookup,1.365115420999989,1.302153414769913,1.46855536680281
test_extrap_ic3,test_extrap,"[-2.2, 0.0]",B1_full_sindy,0.0009460107114662532,0.0009266180373188593,0.0009814262543767723
test_extrap_ic3,test_extrap,"[-2.2, 0.0]",B2_free_residual_sindy,0.000945968961899527,0.0009265804822526162,0.0009813777867459666
test_extrap_ic3,test_extrap,"[-2.2, 0.0]",B3_slot_constrained,0.0009537014666381467,0.0009339067718744093,0.0009897821174646778
test_extrap_ic3,test_extrap,"[-2.2, 0.0]",B4_oracle_reference,0,0,0
test_extrap_ic4,test_extrap,"[2.4, -0.2]",B0_local_linear,1.687266858280974,1.585749083612845,1.857766851226399
test_extrap_ic4,test_extrap,"[2.4, -0.2]",B0_gain_scheduled_lookup,1.526867694578003,1.447650247607742,1.662553389361525
test_extrap_ic4,test_extrap,"[2.4, -0.2]",B1_full_sindy,0.001429495125344659,0.001426284603410514,0.001444314133982619
test_extrap_ic4,test_extrap,"[2.4, -0.2]",B2_free_residual_sindy,0.001429435648165393,0.001426232286767052,0.001444242200999806
test_extrap_ic4,test_extrap,"[2.4, -0.2]",B3_slot_constrained,0.001440197792042524,0.001436501032814648,0.001455906141069918
test_extrap_ic4,test_extrap,"[2.4, -0.2]",B4_oracle_reference,0,0,0
test_extrap_ic5,test_extrap,"[-2.4, 0.2]",B0_local_linear,1.687266858280974,1.585749083612845,1.857766851226399
test_extrap_ic5,test_extrap,"[-2.4, 0.2]",B0_gain_scheduled_lookup,1.526867694578003,1.447650247607742,1.662553389361525
test_extrap_ic5,test_extrap,"[-2.4, 0.2]",B1_full_sindy,0.001429495125342894,0.001426284603408999,0.001444314133980424
test_extrap_ic5,test_extrap,"[-2.4, 0.2]",B2_free_residual_sindy,0.001429435648163185,0.001426232286764957,0.001444242200997392
test_extrap_ic5,test_extrap,"[-2.4, 0.2]",B3_slot_constrained,0.001440197792042524,0.001436501032814648,0.001455906141069918
test_extrap_ic5,test_extrap,"[-2.4, 0.2]",B4_oracle_reference,0,0,0
