record,split,model,window_id,start_index,end_index,n_init,stable,x20_initialized,rmse_mv,nrmse
train_fit,internal_fit,windowed_linear,0,0,300,50,True,-2.319469161290033,56.701549895030276,1.0198608778107072
train_fit,internal_fit,windowed_linear,1,4704,5004,50,True,0.7163614301245815,61.76736506978683,1.004590872781914
train_fit,internal_fit,windowed_linear,2,9409,9709,50,True,2.1931517277494317,64.37941108323473,1.0323717263297845
train_fit,internal_fit,windowed_linear,3,14113,14413,50,True,2.9337690094323303,63.961241917937315,1.0065640346565257
train_fit,internal_fit,windowed_linear,4,18818,19118,50,True,1.659520065135672,55.02536480342292,1.0413307025909282
train_fit,internal_fit,windowed_linear,5,23522,23822,50,True,-1.3593708696252167,46.08404115149985,1.0033043591112434
train_fit,internal_fit,windowed_linear,6,28227,28527,50,True,0.6412101294251566,52.18449360147528,0.9998489988250079
train_fit,internal_fit,windowed_linear,7,32931,33231,50,True,-2.9123049021947294,50.683982032665696,1.0040612275829655
train_fit,internal_fit,windowed_linear,8,37636,37936,50,True,-5.514133875372677,63.162050427299846,1.126731942062761
train_fit,internal_fit,windowed_linear,9,42340,42640,50,True,-1.1328329070156733,43.66973553616762,0.9993984109942949
train_fit,internal_fit,windowed_linear,10,47045,47345,50,True,1.8169348860774448,55.01168810080616,1.0092103861288244
train_fit,internal_fit,windowed_linear,11,51749,52049,50,True,2.0157416071419165,41.667613299067085,0.9997675917229352
train_fit,internal_fit,windowed_slot,0,0,300,50,True,-2.2904504834942636,56.74165220094401,1.0205821768402246
train_fit,internal_fit,windowed_slot,1,4704,5004,50,True,0.7058141511387105,61.769688457969224,1.004628660609828
train_fit,internal_fit,windowed_slot,2,9409,9709,50,True,2.165599457440165,64.45187530058793,1.0335337439361485
train_fit,internal_fit,windowed_slot,3,14113,14413,50,True,2.8975887066980155,63.98407075541425,1.006923294202905
train_fit,internal_fit,windowed_slot,4,18818,19118,50,True,1.639619436999589,55.085887814948514,1.0424760738272665
train_fit,internal_fit,windowed_slot,5,23522,23822,50,True,-1.341463780223887,46.07416652950799,1.003089376851844
train_fit,internal_fit,windowed_slot,6,28227,28527,50,True,0.6330975420371023,52.184330602759815,0.9998458757880437
train_fit,internal_fit,windowed_slot,7,32931,33231,50,True,-2.8766352953710723,50.70433481859018,1.0044644209075726
train_fit,internal_fit,windowed_slot,8,37636,37936,50,True,-5.454141084575281,63.51029243111128,1.1329441436396226
train_fit,internal_fit,windowed_slot,9,42340,42640,50,True,-1.1175821185028496,43.66777921033508,0.9993536397378533
train_fit,internal_fit,windowed_slot,10,47045,47345,50,True,1.794122614927912,55.02974454785222,1.0095416385321696
train_fit,internal_fit,windowed_slot,11,51749,52049,50,True,1.990183645317315,41.66990070230626,0.9998224753950888
validation,internal_validation,windowed_linear,0,0,300,50,True,0.2985714427580989,56.982199855913734,0.999686267657599
validation,internal_validation,windowed_linear,1,1816,2116,50,True,5.205517960331184,51.71094886531831,1.0307204530535248
validation,internal_validation,windowed_linear,2,3632,3932,50,True,5.876801264927037,42.303680758806635,1.0761119805632338
validation,internal_validation,windowed_linear,3,5448,5748,50,True,-1.1629048638221258,51.666072633235565,1.0385906356544177
validation,internal_validation,windowed_linear,4,7265,7565,50,True,1.4921096235675657,61.856757330671414,1.0072341115350438
validation,internal_validation,windowed_linear,5,9081,9381,50,True,4.29276014245359,67.36945004371796,1.0377334009624892
validation,internal_validation,windowed_linear,6,10897,11197,50,True,-1.455866759764858,52.45064543928837,0.999882214048342
validation,internal_validation,windowed_linear,7,12713,13013,50,True,0.5881801531231202,51.75586352766636,0.9995667631011266
validation,internal_validation,windowed_slot,0,0,300,50,True,0.294061872617972,56.981943295802225,0.9996817666095358
validation,internal_validation,windowed_slot,1,1816,2116,50,True,5.149826904334762,51.80428704957993,1.0325809019077878
validation,internal_validation,windowed_slot,2,3632,3932,50,True,5.816086083153601,42.473275967103035,1.080426107188158
validation,internal_validation,windowed_slot,3,5448,5748,50,True,-1.1492341223668436,51.69685361468851,1.0392093944929348
validation,internal_validation,windowed_slot,4,7265,7565,50,True,1.4735838944063295,61.867196512887304,1.0074040962041102
validation,internal_validation,windowed_slot,5,9081,9381,50,True,4.242730612117979,67.4879798925367,1.0395591896998237
validation,internal_validation,windowed_slot,6,10897,11197,50,True,-1.4361826632855033,52.44895888562342,0.999850062775493
validation,internal_validation,windowed_slot,7,12713,13013,50,True,0.5802209500902864,51.755060153104544,0.9995512474386379
test_multisine,official_test,windowed_linear,0,0,300,50,True,-1.6964291962757159,58.935490597290894,1.0024920456399176
test_multisine,official_test,windowed_linear,1,3055,3355,50,True,-5.170826452241262,51.62403460898062,1.057792502579637
test_multisine,official_test,windowed_linear,2,6111,6411,50,True,2.082221236645355,61.7170052066038,1.0006074136229595
test_multisine,official_test,windowed_linear,3,9166,9466,50,True,0.48834041559061453,61.48031436193585,1.0084242377778885
test_multisine,official_test,windowed_linear,4,12222,12522,50,True,3.015457811917116,45.82182036515169,1.0218737489543162
test_multisine,official_test,windowed_linear,5,15277,15577,50,True,-0.14727912047932912,50.521363904799585,0.9996889324951033
test_multisine,official_test,windowed_linear,6,18333,18633,50,True,-0.8966803613194192,44.874771797889046,1.0020856312158988
test_multisine,official_test,windowed_linear,7,21388,21688,50,True,3.4746126973728253,57.03517465346599,1.0401926393624075
test_multisine,official_test,windowed_slot,0,0,300,50,True,-1.675289161454914,58.94061528716727,1.002579216558245
test_multisine,official_test,windowed_slot,1,3055,3355,50,True,-5.114663009063476,51.773445955837055,1.0608539874810432
test_multisine,official_test,windowed_slot,2,6111,6411,50,True,2.0559269983400115,61.7153835270416,1.000581121605273
test_multisine,official_test,windowed_slot,3,9166,9466,50,True,0.4829170517442332,61.492681381548415,1.008627086485736
test_multisine,official_test,windowed_slot,4,12222,12522,50,True,2.9787893476827123,45.88103565003245,1.0231943107450592
test_multisine,official_test,windowed_slot,5,15277,15577,50,True,-0.1449124481592759,50.52082915816168,0.9996783512230575
test_multisine,official_test,windowed_slot,6,18333,18633,50,True,-0.8844500069499822,44.86848169997345,1.0019451688472307
test_multisine,official_test,windowed_slot,7,21388,21688,50,True,3.4329252548138864,57.122228774004924,1.0417803097072598
test_arrow_full,official_test,windowed_linear,0,0,300,50,True,-0.016259833081571695,1.4844878250999454,1.0113778708337975
test_arrow_full,official_test,windowed_linear,1,5739,6039,50,True,-1.043904228218187,16.39742634761491,1.0041536585211075
test_arrow_full,official_test,windowed_linear,2,11479,11779,50,True,-0.8073786944336993,34.426626095584794,1.0017938250612513
test_arrow_full,official_test,windowed_linear,3,17218,17518,50,True,1.442341834017374,49.556920863910754,1.001971633109855
test_arrow_full,official_test,windowed_linear,4,22957,23257,50,True,2.6202780270982697,47.788086040179664,1.0064217824019788
test_arrow_full,official_test,windowed_linear,5,28696,28996,50,True,1.2429153139886626,60.83611873425385,1.0040244838232557
test_arrow_full,official_test,windowed_linear,6,34436,34736,50,True,-9.13478421898421,77.4124162932504,1.127682751427988
test_arrow_full,official_test,windowed_linear,7,40175,40475,50,True,9.441369020259154,84.41540542529019,1.0766574022151272
test_arrow_full,official_test,windowed_slot,0,0,300,50,True,-0.01606847346574122,1.4847997424343262,1.0115903793395518
test_arrow_full,official_test,windowed_slot,1,5739,6039,50,True,-1.0301706875494556,16.402738489384493,1.0044789660711722
test_arrow_full,official_test,windowed_slot,2,11479,11779,50,True,-0.7968097322455149,34.432041023637474,1.0019513961654098
test_arrow_full,official_test,windowed_slot,3,17218,17518,50,True,1.424069833724225,49.56739195228295,1.0021833438726269
test_arrow_full,official_test,windowed_slot,4,22957,23257,50,True,2.588544643268709,47.81356888934174,1.0069584537064713
test_arrow_full,official_test,windowed_slot,5,28696,28996,50,True,1.2270108666209347,60.84266592137614,1.0041325370046177
test_arrow_full,official_test,windowed_slot,6,34436,34736,50,True,-9.06605217933038,78.11832348144789,1.137965848098473
test_arrow_full,official_test,windowed_slot,7,40175,40475,50,True,9.38820961700688,84.80765308348514,1.0816602372138988
test_arrow_no_extrapolation,official_test,windowed_linear,0,0,300,50,True,-0.016259833081571695,1.4844878250999454,1.0113778708337975
test_arrow_no_extrapolation,official_test,windowed_linear,1,4529,4829,50,True,-0.6388457005044955,11.390840952581609,1.0117805824279777
test_arrow_no_extrapolation,official_test,windowed_linear,2,9057,9357,50,True,-1.6424387728400993,22.901210606364163,1.0201729066563219
test_arrow_no_extrapolation,official_test,windowed_linear,3,13586,13886,50,True,1.4822135519389608,31.766077905044536,1.0011907098285195
test_arrow_no_extrapolation,official_test,windowed_linear,4,18114,18414,50,True,-1.7116663170122826,62.67450213829768,1.015468603867091
test_arrow_no_extrapolation,official_test,windowed_linear,5,22643,22943,50,True,5.880999718596504,57.59742966746666,1.076249405031792
test_arrow_no_extrapolation,official_test,windowed_linear,6,27171,27471,50,True,6.3229274867215235,50.29921626435978,1.057353138598966
test_arrow_no_extrapolation,official_test,windowed_linear,7,31700,32000,50,True,1.1304752628526917,75.73446868539087,1.0019098170500673
test_arrow_no_extrapolation,official_test,windowed_slot,0,0,300,50,True,-0.01606847346574122,1.4847997424343262,1.0115903793395518
test_arrow_no_extrapolation,official_test,windowed_slot,1,4529,4829,50,True,-0.6303480213202066,11.39752273795212,1.012374085640074
test_arrow_no_extrapolation,official_test,windowed_slot,2,9057,9357,50,True,-1.6211873015801317,22.924123924334598,1.0211936189058546
test_arrow_no_extrapolation,official_test,windowed_slot,3,13586,13886,50,True,1.4622816836705237,31.775465815098276,1.0014865942735116
test_arrow_no_extrapolation,official_test,windowed_slot,4,18114,18414,50,True,-1.6898930795265201,62.71001798440196,1.0160440408538751
test_arrow_no_extrapolation,official_test,windowed_slot,5,22643,22943,50,True,5.821842443071113,57.81761519726105,1.0803637300425775
test_arrow_no_extrapolation,official_test,windowed_slot,6,27171,27471,50,True,6.265701658637933,50.45146129012511,1.0605535215827286
test_arrow_no_extrapolation,official_test,windowed_slot,7,31700,32000,50,True,1.117158296504804,75.73472015924862,1.0019131438592626
